agent,ipsource,ipdestination,tcpsourceport,tcpdestinationport,bytes,rate(bytes)
198.17.101.70,192.154.2.254,10.244.33.60,198.17.101.70,10.244.12.1,TCP:6801,TCP:39236,rook,rook-ceph-osd-116-54d747fb55-tv8zz,osd,_,_,_,3615870000,60264500
67.58.53.218,192.154.2.253,10.244.90.112,67.58.53.218,10.244.42.113,TCP:42722,TCP:6808,rook,rook-ceph-osd-73-78b9fb5fcf-22rcf,osd,rook,rook-ceph-osd-204-6b466cd87-t97xm,osd,3570990000,59516500
67.58.51.231,10.244.156.249,67.58.51.245,TCP:6801,TCP:57818,3477760000,57962700
67.58.51.245,10.244.53.157,67.58.51.245,TCP:6801,TCP:53634,3404280000,56738000
199.109.80.17,168.123.136.165,199.109.80.17,TCP:50380,TCP:5201,3357860000,55964300
67.58.51.242,10.244.53.157,67.58.51.233,TCP:6801,TCP:40484,3299080000,54984700
67.58.51.245,10.244.43.101,67.58.51.245,TCP:6801,TCP:60040,3224040000,53734000
67.58.51.239,10.244.158.219,67.58.51.245,TCP:6801,TCP:38898,3122480000,52041300
67.58.51.241,10.244.206.175,67.58.51.245,TCP:6801,TCP:34116,3032360000,50539300
199.109.80.6,199.109.80.16,10.244.210.221,129.93.241.5,10.244.6.41,TCP:43198,TCP:80,kraken,kraken-origin-696757d685-b9zkm,main,_,_,_,2919040000,48650600
128.114.198.38,128.114.86.12,128.114.198.38,TCP:50738,TCP:5201,2911410000,48523600
67.58.51.243,10.244.213.2,67.58.51.245,TCP:6801,TCP:36124,2854200000,47570000
67.58.51.248,10.244.4.218,67.58.51.245,TCP:6801,TCP:59912,2853160000,47552700
67.58.51.245,10.244.1.231,67.58.51.239,TCP:6801,TCP:46888,2853160000,47552700
67.58.51.247,10.244.194.68,67.58.51.245,TCP:6801,TCP:32930,2779840000,46330700
198.17.101.66,198.17.101.66,198.129.208.230,TCP:8000,TCP:40388,2700460000,45007600
198.17.101.66,198.17.101.66,208.69.128.88,TCP:8000,TCP:44800,2699410000,44990200
