from,to,bw
ELPA_SUNN,SUNN_SLAC,1
ELPA_SUNN,SUNN_ELPA,1
ELPA_SUNN,SUNN_NERSC,1
ELPA_SUNN,SUNN_SACR,1
SUNN_ELPA,ELPA_SUNN,1
SUNN_ELPA,ELPA_HOUS,1
SUNN_ELPA,ELPA_ALBQ,1
ATLA_NASH,NASH_ATLA,1
ATLA_NASH,NASH_WASH,1
ATLA_NASH,NASH_CHIC,1
ATLA_NASH,NASH_HOUS,1
NASH_ATLA,ATLA_ORNL,1
NASH_ATLA,ATLA_SRS,1
NASH_ATLA,ATLA_WASH,1
NASH_ATLA,ATLA_NASH,1
CHIC_EQX-CHI,EQX-CHI_CHIC,1
CHIC_EQX-CHI,EQX-CHI_EQX-ASH,1
EQX-CHI_CHIC,CHIC_KANS,1
EQX-CHI_CHIC,CHIC_STAR,1
EQX-CHI_CHIC,CHIC_EQX-CHI,1
EQX-CHI_CHIC,CHIC_NASH,1
EQX-CHI_CHIC,CHIC_WASH,1
NERSC_SUNN,SUNN_LSVN,1
NERSC_SUNN,SUNN_LLNL,1
NERSC_SUNN,SUNN_GA,1
NERSC_SUNN,SUNN_SLAC,1
NERSC_SUNN,SUNN_ELPA,1
NERSC_SUNN,SUNN_NERSC,1
SUNN_NERSC,NERSC_SUNN,1
AMST_BOST,BOST_STAR,1
AMST_BOST,BOST_NEWY,1
AMST_BOST,BOST_AMST,1
BOST_AMST,AMST_BOST,1
BOST_AMST,AMST_LOND,1
BOST_AMST,AMST_CERN-513,1
DENV_PNWG,PNWG_DENV,1
DENV_PNWG,PNWG_BOIS,1
PNWG_DENV,DENV_PNWG,1
PNWG_DENV,DENV_KANS,1
PNWG_DENV,DENV_BOIS,1
PNWG_DENV,DENV_SACR,1
PNWG_DENV,DENV_ALBQ,1
PNWG_DENV,DENV_LSVN,1
ATLA_ORNL,ORNL_ATLA,1
ORNL_ATLA,ATLA_SRS,1
ORNL_ATLA,ATLA_WASH,1
ORNL_ATLA,ATLA_NASH,1
ORNL_ATLA,ATLA_ORNL,1
AOFA_LOND,LOND_AOFA,1
AOFA_LOND,LOND_CERN-773,1
AOFA_LOND,LOND_AMST,1
AOFA_LOND,LOND_NEWY,1
LOND_AOFA,AOFA_NEWY,1
LOND_AOFA,AOFA_STAR,1
LOND_AOFA,AOFA_WASH,1
LOND_AOFA,AOFA_LOND,1
ELPA_HOUS,HOUS_ELPA,1
ELPA_HOUS,HOUS_KANS,1
ELPA_HOUS,HOUS_NASH,1
HOUS_ELPA,ELPA_SUNN,1
HOUS_ELPA,ELPA_HOUS,1
HOUS_ELPA,ELPA_ALBQ,1
ANL_STAR,STAR_CHIC,1
ANL_STAR,STAR_AOFA,1
ANL_STAR,STAR_FNAL,1
ANL_STAR,STAR_BOST,1
STAR_ANL,ANL_STAR,1
CERN-513_WASH,WASH_CERN-513,1
CERN-513_WASH,WASH_PPPL,1
CERN-513_WASH,WASH_EQX-ASH,1
CERN-513_WASH,WASH_CERN-513,1
CERN-513_WASH,WASH_NASH,1
CERN-513_WASH,WASH_AOFA,1
CERN-513_WASH,WASH_ATLA,1
CERN-513_WASH,WASH_CHIC,1
WASH_CERN-513,CERN-513_WASH,1
WASH_CERN-513,CERN-513_CERN-773,1
WASH_CERN-513,CERN-513_AMST,1
DENV_KANS,KANS_CHIC,1
DENV_KANS,KANS_DENV,1
DENV_KANS,KANS_HOUS,1
KANS_DENV,DENV_PNWG,1
KANS_DENV,DENV_KANS,1
KANS_DENV,DENV_BOIS,1
KANS_DENV,DENV_SACR,1
KANS_DENV,DENV_ALBQ,1
KANS_DENV,DENV_LSVN,1
BOIS_DENV,DENV_PNWG,1
BOIS_DENV,DENV_KANS,1
BOIS_DENV,DENV_BOIS,1
BOIS_DENV,DENV_SACR,1
BOIS_DENV,DENV_ALBQ,1
BOIS_DENV,DENV_LSVN,1
BOIS_DENV,DENV_BOIS,1
DENV_BOIS,BOIS_DENV,1
DENV_BOIS,BOIS_PNWG,1
AOFA_NEWY,NEWY_AOFA,1
AOFA_NEWY,NEWY_BOST,1
AOFA_NEWY,NEWY_LOND,1
NEWY_AOFA,AOFA_NEWY,1
NEWY_AOFA,AOFA_STAR,1
NEWY_AOFA,AOFA_WASH,1
NEWY_AOFA,AOFA_LOND,1
AOFA_STAR,STAR_CHIC,1
AOFA_STAR,STAR_AOFA,1
AOFA_STAR,STAR_FNAL,1
AOFA_STAR,STAR_BOST,1
STAR_AOFA,AOFA_NEWY,1
STAR_AOFA,AOFA_STAR,1
STAR_AOFA,AOFA_WASH,1
STAR_AOFA,AOFA_LOND,1
DENV_SACR,SACR_JGI,1
DENV_SACR,SACR_DENV,1
DENV_SACR,SACR_SNLL,1
DENV_SACR,SACR_SUNN,1
SACR_DENV,DENV_PNWG,1
SACR_DENV,DENV_KANS,1
SACR_DENV,DENV_BOIS,1
SACR_DENV,DENV_SACR,1
SACR_DENV,DENV_ALBQ,1
SACR_DENV,DENV_LSVN,1
NASH_WASH,WASH_PPPL,1
NASH_WASH,WASH_EQX-ASH,1
NASH_WASH,WASH_CERN-513,1
NASH_WASH,WASH_NASH,1
NASH_WASH,WASH_AOFA,1
NASH_WASH,WASH_ATLA,1
NASH_WASH,WASH_CHIC,1
WASH_NASH,NASH_ATLA,1
WASH_NASH,NASH_WASH,1
WASH_NASH,NASH_CHIC,1
WASH_NASH,NASH_HOUS,1
ALBQ_DENV,DENV_PNWG,1
ALBQ_DENV,DENV_KANS,1
ALBQ_DENV,DENV_BOIS,1
ALBQ_DENV,DENV_SACR,1
ALBQ_DENV,DENV_ALBQ,1
ALBQ_DENV,DENV_LSVN,1
DENV_ALBQ,ALBQ_DENV,1
DENV_ALBQ,ALBQ_ELPA,1
DENV_ALBQ,ALBQ_SNLA,1
AOFA_WASH,WASH_PPPL,1
AOFA_WASH,WASH_EQX-ASH,1
AOFA_WASH,WASH_CERN-513,1
AOFA_WASH,WASH_NASH,1
AOFA_WASH,WASH_AOFA,1
AOFA_WASH,WASH_ATLA,1
AOFA_WASH,WASH_CHIC,1
WASH_AOFA,AOFA_NEWY,1
WASH_AOFA,AOFA_STAR,1
WASH_AOFA,AOFA_WASH,1
WASH_AOFA,AOFA_LOND,1
CHIC_NASH,NASH_ATLA,1
CHIC_NASH,NASH_WASH,1
CHIC_NASH,NASH_CHIC,1
CHIC_NASH,NASH_HOUS,1
NASH_CHIC,CHIC_KANS,1
NASH_CHIC,CHIC_STAR,1
NASH_CHIC,CHIC_EQX-CHI,1
NASH_CHIC,CHIC_NASH,1
NASH_CHIC,CHIC_WASH,1
ALBQ_ELPA,ELPA_SUNN,1
ALBQ_ELPA,ELPA_HOUS,1
ALBQ_ELPA,ELPA_ALBQ,1
ELPA_ALBQ,ALBQ_DENV,1
ELPA_ALBQ,ALBQ_ELPA,1
ELPA_ALBQ,ALBQ_SNLA,1
CERN-773_LOND,LOND_AOFA,1
CERN-773_LOND,LOND_CERN-773,1
CERN-773_LOND,LOND_AMST,1
CERN-773_LOND,LOND_NEWY,1
LOND_CERN-773,CERN-773_CERN-513,1
LOND_CERN-773,CERN-773_LOND,1
EQX-ASH_EQX-CHI,EQX-CHI_CHIC,1
EQX-ASH_EQX-CHI,EQX-CHI_EQX-ASH,1
EQX-CHI_EQX-ASH,EQX-ASH_NETL-PGH,1
EQX-CHI_EQX-ASH,EQX-ASH_WASH,1
EQX-CHI_EQX-ASH,EQX-ASH_EQX-CHI,1
EQX-CHI_EQX-ASH,EQX-ASH_NETL-MGN,1
SACR_SNLL,SNLL_SACR,1
SNLL_SACR,SACR_JGI,1
SNLL_SACR,SACR_DENV,1
SNLL_SACR,SACR_SNLL,1
SNLL_SACR,SACR_SUNN,1
ATLA_SRS,SRS_ATLA,1
SRS_ATLA,ATLA_SRS,1
SRS_ATLA,ATLA_WASH,1
SRS_ATLA,ATLA_NASH,1
SRS_ATLA,ATLA_ORNL,1
HOUS_KANS,KANS_CHIC,1
HOUS_KANS,KANS_DENV,1
HOUS_KANS,KANS_HOUS,1
KANS_HOUS,HOUS_NASH,1
KANS_HOUS,HOUS_ELPA,1
KANS_HOUS,HOUS_KANS,1
KANS_HOUS,HOUS_PANTEX,1
CERN-513_CERN-773,CERN-773_CERN-513,1
CERN-513_CERN-773,CERN-773_LOND,1
CERN-773_CERN-513,CERN-513_WASH,1
CERN-773_CERN-513,CERN-513_CERN-773,1
CERN-773_CERN-513,CERN-513_AMST,1
AMST_LOND,LOND_AOFA,1
AMST_LOND,LOND_CERN-773,1
AMST_LOND,LOND_AMST,1
AMST_LOND,LOND_NEWY,1
LOND_AMST,AMST_BOST,1
LOND_AMST,AMST_LOND,1
LOND_AMST,AMST_CERN-513,1
FNAL_STAR,STAR_CHIC,1
FNAL_STAR,STAR_AOFA,1
FNAL_STAR,STAR_FNAL,1
FNAL_STAR,STAR_BOST,1
STAR_FNAL,FNAL_STAR,1
BOST_STAR,STAR_CHIC,1
BOST_STAR,STAR_AOFA,1
BOST_STAR,STAR_FNAL,1
BOST_STAR,STAR_BOST,1
STAR_BOST,BOST_STAR,1
STAR_BOST,BOST_NEWY,1
STAR_BOST,BOST_AMST,1
BOST_NEWY,NEWY_AOFA,1
BOST_NEWY,NEWY_BOST,1
BOST_NEWY,NEWY_LOND,1
NEWY_BOST,BOST_STAR,1
NEWY_BOST,BOST_NEWY,1
NEWY_BOST,BOST_AMST,1
ATLA_WASH,WASH_PPPL,1
ATLA_WASH,WASH_EQX-ASH,1
ATLA_WASH,WASH_CERN-513,1
ATLA_WASH,WASH_NASH,1
ATLA_WASH,WASH_AOFA,1
ATLA_WASH,WASH_ATLA,1
ATLA_WASH,WASH_CHIC,1
WASH_ATLA,ATLA_SRS,1
WASH_ATLA,ATLA_WASH,1
WASH_ATLA,ATLA_NASH,1
WASH_ATLA,ATLA_ORNL,1
